Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
606,0,0.087278,0.688407,0.689400
607,0,0.081444,0.670218,0.800562
608,0,0.092796,0.797166,0.880295
609,0,0.087522,0.685988,0.786504
610,0,0.090253,0.697363,0.673040
611,0,0.084715,0.695567,0.672419
612,0,0.088450,0.692524,0.666932
613,0,0.087363,0.781783,1.137993
614,0,0.092376,0.745462,0.840727
615,0,0.085748,0.686803,0.742626
616,0,0.086669,0.712797,0.765021
617,0,0.085004,0.710108,0.870900
618,0,0.091354,0.757211,0.856518
619,0,0.092421,0.768393,0.888169
620,0,0.088412,0.733921,0.825268
621,0,0.087205,0.702178,0.703888
622,0,0.089358,0.739042,0.798434
623,0,0.085976,0.676814,0.709386
624,0,0.083591,0.661940,0.630663
625,0,0.091275,0.717420,0.797043
626,0,0.090164,0.722453,0.830948
627,0,0.086933,0.685856,0.799013
628,0,0.089583,0.733910,0.838068
629,0,0.089270,0.748309,0.810293
630,0,0.091550,0.743380,0.803671
631,0,0.087494,0.671942,0.738996
632,0,0.084855,0.675509,0.713245
633,0,0.093437,0.828484,0.918651
634,0,0.088766,0.742706,0.811293
635,0,0.089223,0.717911,0.775050
636,0,0.092065,0.780583,0.819609
637,0,0.095593,0.745093,0.860650
638,0,0.082800,0.681957,0.688190
639,0,0.081797,0.656721,0.708845
640,0,0.081203,0.642702,0.611848
641,0,0.082056,0.632712,0.598480
642,0,0.079486,0.660064,0.682693
643,0,0.090059,0.745049,0.737367
644,0,0.091822,0.707192,0.745293
645,0,0.083939,0.719175,0.735187
646,0,0.079024,0.617884,0.619932
647,0,0.088909,0.715412,0.727512
648,0,0.092947,0.743858,0.677867
649,0,0.086336,0.668684,0.622749
650,0,0.090587,0.729970,0.820253
651,0,0.090443,0.741654,0.682160
652,0,0.088213,0.726583,0.692262
653,0,0.054084,0.329189,0.564342
654,0,0.095449,0.760470,0.827427
655,0,0.083917,0.640930,0.661755
656,0,0.094432,0.768717,1.051797
657,0,0.092753,0.793669,0.873589
658,0,0.090222,0.753137,0.825632
659,0,0.086526,0.693043,0.646276
660,0,0.096145,0.851207,0.929514
661,0,0.096795,0.812685,0.747579
662,0,0.090532,0.702669,0.786111
663,0,0.087908,0.709817,0.809062
664,0,0.092888,0.764256,0.699472
665,0,0.082294,0.644511,0.656210
666,0,0.085854,0.678948,0.860000
667,0,0.086115,0.682854,0.697967
668,0,0.082010,0.687530,0.690978
669,0,0.089679,0.727671,0.993808
670,0,0.090330,0.694161,0.767574
671,0,0.089141,0.716464,0.745505
672,0,0.089535,0.746374,0.814115
673,0,0.091559,0.799992,0.815117
674,0,0.088020,0.746445,0.732223
675,0,0.088325,0.737132,0.717831
676,0,0.082095,0.641111,0.830725
677,0,0.083864,0.686568,0.627693
678,0,0.088615,0.732768,0.838927
679,0,0.079054,0.720434,0.669591
680,0,0.088990,0.660212,0.769040
681,0,0.086432,0.752287,0.758429
682,0,0.096633,0.804428,0.878354
683,0,0.091581,0.724745,0.831019
684,0,0.094910,0.741458,0.821473
685,0,0.089894,0.731391,0.738278
686,0,0.077942,0.579289,0.595303
687,0,0.092595,0.778332,0.813302
688,0,0.093279,0.695103,1.074838
689,0,0.086607,0.730940,0.782699
690,0,0.087198,0.697965,0.742213
691,0,0.080812,0.637240,0.735143
692,0,0.083784,0.652365,0.707908
693,0,0.084517,0.662440,0.659111
694,0,0.076787,0.601896,0.616848
695,0,0.074967,0.666491,0.838332
696,0,0.078141,0.592090,0.557442
697,0,0.084320,0.656569,0.597003
698,0,0.083140,0.660974,0.589366
699,0,0.096879,0.791078,0.868083
