Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
605,0,0.5638185,5.706923
606,0,0.5010785,4.877391
607,0,0.5218971,5.199678
608,0,0.5205496,5.338942
609,0,0.6215028,6.068056
610,0,0.5084222,5.012425
611,0,0.5097181,5.211374
612,0,0.4995618,5.016562
613,0,0.5359683,5.398904
614,0,0.4897762,5.073214
615,0,0.6044129,6.287884
616,0,0.5605303,4.990687
617,0,0.5423949,5.46595
618,0,0.343416,4.361883
619,0,0.5389634,5.125952
620,0,0.4960824,4.892315
621,0,0.505007,5.195573
622,0,0.5873739,5.915633
623,0,0.4815957,4.673199
624,0,0.5502811,5.583471
625,0,0.5250905,4.940611
626,0,0.5090594,4.669655
627,0,0.5534157,5.423225
628,0,0.4609771,4.536381
629,0,0.4970255,4.737113
630,0,0.5224312,5.257747
631,0,0.5768747,5.365287
632,0,0,22.04996
633,0,0.5035208,5.211033
634,0,0.5300965,7.62761
635,0,0.5683325,5.885521
636,0,0.4818229,4.673089
637,0,0.5073151,5.312654
638,0,0.5028771,5.264798
639,0,0.5081974,5.081715
640,0,0.5230016,5.128173
641,0,0.5583621,5.199483
642,0,0.5330846,5.404963
643,0,0.5343024,5.564215
644,0,0,10.74237
645,0,0.5162164,5.402429
646,0,0.5372499,5.021431
647,0,0.5664314,5.706946
648,0,0.5255321,5.119727
649,0,0.4070262,4.06365
650,0,0.5250876,5.107136
651,0,0.5282,5.17552
652,0,0,19.54367
653,0,0.5359594,5.260767
654,0,0.5316626,5.21104
655,0,0.5441583,5.320198
656,0,0.5265899,5.329329
657,0,0.3392496,4.898292
658,0,0.536069,5.457588
659,0,0.5393165,5.529746
660,0,0.5195113,5.474656
661,0,0.5248315,5.006314
662,0,0.5414347,5.57919
663,0,0.5268301,4.982029
664,0,0.5208582,5.038605
665,0,0.5307494,5.012774
666,0,0.533998,5.227097
667,0,0.5532446,5.478472
668,0,0.5496023,5.315209
669,0,0.4894386,5.027151
670,0,0.5567515,5.460917
671,0,0.5238522,5.401179
672,0,0.5582175,5.508138
673,0,0.5183781,5.384824
674,0,0.511312,4.795284
675,0,0.5714136,5.791286
676,0,0.4885426,5.027812
677,0,0.5539534,5.631016
678,0,0.5436895,5.580564
679,0,0,12.52255
680,0,0.5623357,5.593669
681,0,0.5378693,5.520426
682,0,0.5022437,5.324071
683,0,0.5531627,5.701779
684,0,0.5058715,4.836761
685,0,0.5386679,5.423538
